locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Neufchateau,Wallonie,HOUSE,HOUSE,230000,residential_sale,4,,None,No,No,No,,Yes,1500,135,,,No,None
Hasselt,Flanders,HOUSE,HOUSE,350000,residential_sale,4,,None,No,No,No,,No,,181,,,No,None
Sint-Pieters-Leeuw,Flanders,HOUSE,HOUSE,425000,residential_sale,3,,None,No,No,Yes,50,No,,250,,,No,None
Halle,Flanders,APARTMENT,APARTMENT,475000,residential_sale,2,,None,No,No,Yes,37,No,,105,,,No,None
Knokke,Flanders,APARTMENT,APARTMENT,395000,residential_sale,1,,None,No,No,No,,No,,67,,,No,None
Halle,Flanders,APARTMENT,APARTMENT,249900,residential_sale,1,,None,No,No,Yes,24,No,,66,,,No,None
Zwijndrecht (Zwijndrecht),Flanders,APARTMENT,APARTMENT,199000,residential_sale,2,,None,No,No,Yes,7,No,,80,,,No,None
Oostende,Flanders,APARTMENT,APARTMENT,620000,residential_sale,2,,None,No,No,No,,No,,138,,,No,None
Hasselt,Flanders,APARTMENT,APARTMENT,199000,residential_sale,1,26,No,No,No,No,,No,,61,,2,No,GOOD
Oostduinkerke,Flanders,HOUSE,HOUSE,539000,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,695000,residential_sale,2,,None,Yes,No,Yes,,No,,56,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,1295000,residential_sale,3,,None,Yes,No,Yes,,No,,104,,,No,None
Sint-Truiden,Flanders,HOUSE,HOUSE,229000,residential_sale,3,23,No,No,No,No,,Yes,,164,257,,No,
Blandain,Wallonie,HOUSE,HOUSE,312000,residential_sale,2,38,No,No,No,Yes,,Yes,900,140,1026,4,No,GOOD
Pecq,Wallonie,HOUSE,HOUSE,185000,residential_sale,3,,None,No,No,Yes,,No,,124,,,No,None
Rumbeke,Flanders,HOUSE,HOUSE,415000,residential_sale,4,,None,No,No,Yes,,Yes,,277,,,No,None
Beveren-Leie,Flanders,HOUSE,HOUSE,290000,residential_sale,3,,None,No,No,No,,Yes,,320,,,No,None
Eeklo,Flanders,HOUSE,HOUSE,195000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Antwerp,Flanders,HOUSE,HOUSE,595000,residential_sale,4,,None,No,No,No,,No,,,,,No,None
Izegem,Flanders,HOUSE,HOUSE,145000,residential_sale,2,,None,No,No,Yes,,No,,,,,No,None
Roeselare,Flanders,HOUSE,HOUSE,310000,residential_sale,3,,None,No,Yes,Yes,,Yes,,233,,,No,None
Ichtegem,Flanders,HOUSE,HOUSE,274000,residential_sale,3,,None,No,No,No,,Yes,,225,,,No,None
Izegem,Flanders,HOUSE,HOUSE,179000,residential_sale,4,,None,No,No,No,,No,,152,,,No,None
Opwijk,Flanders,HOUSE,HOUSE,548500,residential_sale,3,100,Yes,No,Yes,Yes,55,Yes,350,261,605,2,No,JUST_RENOVATED
Oud-Heverlee,Flanders,HOUSE,HOUSE,495000,residential_sale,4,44,No,No,No,Yes,,Yes,647,165,647,4,No,GOOD
Thimister-Clermont,Wallonie,HOUSE,HOUSE,599000,residential_sale,5,,None,No,No,Yes,,Yes,1334,286,,,No,None
Jette,Brussels,HOUSE,HOUSE,469000,residential_sale,4,15,No,No,No,No,,Yes,42,171,112,2,No,GOOD
Halle,Flanders,HOUSE,HOUSE,299000,residential_sale,3,,None,No,Yes,Yes,,No,,160,,,No,None
Vilvoorde,Flanders,APARTMENT,APARTMENT,565000,residential_sale,3,,None,No,Yes,Yes,38,No,,230,,,No,None
Arlon,Wallonie,HOUSE,HOUSE,350000,residential_sale,5,,None,No,No,Yes,9,Yes,291,234,,,No,None
JEHAY,Wallonie,HOUSE,HOUSE,295000,residential_sale,2,32,Yes,No,Yes,Yes,100,Yes,1700,130,2041,4,No,AS_NEW
