locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Bruxelles,1000,Brussels,,None,APARTMENT,PENTHOUSE,675000,residential_sale,1,,None,0,0,0,,0,,103,,,0,None
Kortrijk,8500,Flanders,,None,HOUSE,APARTMENT_BLOCK,447500,residential_sale,4,,None,0,0,0,,0,,200,,,0,None
Bruxelles,1000,Brussels,,None,APARTMENT,FLAT_STUDIO,225000,residential_sale,0,,None,1,0,0,,1,,50,,,0,None
NeufchÃteau,6840,Wallonie,1984,F,HOUSE,HOUSE,220000,residential_sale,3,16,0,0,0,1,42,1,200,172,370,3,0,TO_BE_DONE_UP
Maaseik,3680,Flanders,,None,HOUSE,APARTMENT_BLOCK,2600000,residential_sale,0,,None,0,0,1,,0,,730,,,0,None
Athus,6791,Wallonie,1968,E,HOUSE,HOUSE,220000,residential_sale,2,24,0,0,1,0,,1,,92,160,2,0,TO_RENOVATE
De Haan,8420,Flanders,,None,APARTMENT,APARTMENT,2400000,residential_sale,2,,None,0,0,0,,0,,40,,,0,None
Vielsalm,6690,Wallonie,,E,HOUSE,HOUSE,220000,residential_sale,3,33,1,0,0,1,,1,147,150,211,4,0,GOOD
Brussels,1000,Brussels,,None,HOUSE,APARTMENT_BLOCK,4200000,residential_sale,22,,None,0,0,0,,0,,632,,,0,None
Trooz,4870,Wallonie,1925,F,HOUSE,HOUSE,219000,residential_sale,3,14,0,0,0,1,,1,70,100,180,3,0,GOOD
Vance,6741,Wallonie,1875,G,HOUSE,HOUSE,210000,residential_sale,3,45,0,0,1,0,,1,,387,427,3,0,TO_RENOVATE
De Haan,8420,Flanders,,None,HOUSE,APARTMENT_BLOCK,2400000,residential_sale,2,,None,0,0,0,,0,,40,,,0,None
Schelle,2627,Flanders,,None,HOUSE,APARTMENT_BLOCK,950000,residential_sale,6,,None,0,0,0,,0,,,,,0,None
Bruxelles,1000,Brussels,,None,HOUSE,APARTMENT_BLOCK,2250000,residential_sale,7,,None,0,0,0,,0,,420,,,0,None
Huy,4500,Wallonie,,E,HOUSE,HOUSE,209000,residential_sale,3,13,0,0,1,1,20,1,50,173,140,2,0,JUST_RENOVATED
Leuze-En-Hainaut,7900,Wallonie,,D,HOUSE,HOUSE,195000,residential_sale,2,31,1,0,0,1,49,1,122,112,220,4,0,GOOD
Jette,1090,Brussels,,None,APARTMENT,APARTMENT,285000,residential_sale,2,,None,0,0,1,3,0,,125,,,0,None
Gouy-lez-Piéton,6181,Wallonie,1950,G,HOUSE,HOUSE,189000,residential_sale,2,30,0,0,0,1,20,0,,110,110,3,0,AS_NEW
SINT-GILLIS-WAAS,9170,Flanders,,C,APARTMENT,PENTHOUSE,324000,residential_sale,3,46,0,0,1,1,10,0,,120,,2,0,GOOD
Balen,2490,Flanders,,None,HOUSE,HOUSE,461112,residential_sale,4,,None,0,0,1,,0,,171,,,0,None
Liège Angleur,4031,Wallonie,1925,D,HOUSE,HOUSE,189000,residential_sale,2,11,0,0,0,1,24,0,,150,100,2,0,TO_BE_DONE_UP
OTHÉE,4340,Wallonie,1933,G,HOUSE,HOUSE,190000,residential_sale,3,47,0,0,1,1,24,0,,250,271,3,0,TO_BE_DONE_UP
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,239421,residential_sale,2,,None,0,0,1,,0,,81,,,0,None
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,239421,residential_sale,2,,None,0,0,1,,0,,80,,,0,None
Burdinne,4210,Wallonie,1874,G,HOUSE,COUNTRY_COTTAGE,179000,residential_sale,2,22,0,0,1,0,,1,3750,147,4000,4,0,GOOD
