locality,postal_code,region,property_type,subtype_property,price,contruction_year,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Waterloo,1410,Wallonie,APARTMENT,APARTMENT,530000,,residential_sale,2,,None,0,0,1,15,0,,117,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,600000,,residential_sale,3,,None,0,0,1,7,0,,117,,,0,None
Wavre,1300,Wallonie,APARTMENT,APARTMENT,415000,,residential_sale,2,,None,0,0,1,17,0,,116,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,485000,,residential_sale,2,,None,0,0,1,17,0,,108,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,415000,,residential_sale,1,,None,0,0,1,6,0,,65,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,470000,,residential_sale,3,,None,0,0,1,7,0,,115,,,0,None
Evere,1140,Brussels,APARTMENT,APARTMENT,395000,,residential_sale,2,,None,0,0,1,18,0,,110,,,0,None
Evere,1140,Brussels,APARTMENT,APARTMENT,380000,,residential_sale,2,,None,0,0,1,25,0,,96,,,0,None
Evere,1140,Brussels,APARTMENT,APARTMENT,409000,,residential_sale,2,,None,0,0,1,44,0,,97,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,370000,,residential_sale,1,,None,0,0,1,8,0,,68,,,0,None
Wavre,1300,Wallonie,APARTMENT,APARTMENT,365000,,residential_sale,2,,None,0,0,1,12,0,,101,,,0,None
Wavre,1300,Wallonie,APARTMENT,APARTMENT,355000,,residential_sale,2,,None,0,0,1,15,0,,98,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,365000,,residential_sale,1,,None,0,0,0,,0,,71,,,0,None
Jambes,5100,Wallonie,APARTMENT,APARTMENT,336000,2020,residential_sale,3,28,0,0,0,1,11,0,,97,,,0,AS_NEW
Wavre,1300,Wallonie,APARTMENT,APARTMENT,299000,,residential_sale,1,,None,0,0,1,18,0,,82,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,695000,,residential_sale,2,,None,0,0,0,,1,,66,,,0,None
's-Gravenwezel,2970,Flanders,HOUSE,HOUSE,325000,,residential_sale,2,,None,0,0,0,,1,,139,,,0,None
Brunehaut,7620,Wallonie,HOUSE,HOUSE,460000,,residential_sale,4,,None,0,0,1,,0,,,,,0,None
Heist-aan-Zee,8301,Flanders,APARTMENT,APARTMENT,375000,,residential_sale,2,,None,0,0,1,,1,,82,,,0,None
Kortrijk,8500,Flanders,APARTMENT,APARTMENT,479500,,residential_sale,2,,None,0,0,0,,1,,,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,695000,,residential_sale,2,,None,1,0,1,,0,,60,,,0,None
Brugge,8000,Flanders,HOUSE,HOUSE,178000,,residential_sale,3,,None,0,0,0,,0,,100,,,0,None
Molenbeek,1080,Brussels,APARTMENT,APARTMENT,225000,,residential_sale,2,,None,0,0,0,,0,,91,,,0,None
Lokeren,9160,Flanders,APARTMENT,APARTMENT,169000,,residential_sale,2,,None,0,0,0,,0,,80,,,0,None
Sint-Truiden,3800,Flanders,APARTMENT,APARTMENT,172500,,residential_sale,2,,None,0,0,0,,0,,83,,,0,None
Wondelgem,9032,Flanders,APARTMENT,APARTMENT,215000,,residential_sale,2,,None,0,0,0,,0,,86,,,0,None
Eeklo,9900,Flanders,HOUSE,HOUSE,199000,,residential_sale,4,,None,0,0,0,,1,,,,,0,None
Gent,9000,Flanders,HOUSE,HOUSE,485000,,residential_sale,3,,None,0,0,0,,1,,235,,,0,None
Aalst,9300,Flanders,HOUSE,HOUSE,345000,1930,residential_sale,3,65,0,0,0,1,17,0,,288,150,,0,AS_NEW
Brakel,9660,Flanders,HOUSE,HOUSE,410000,1996,residential_sale,4,40,0,0,0,0,,1,,246,1344,,0,AS_NEW
Aalst,9300,Flanders,HOUSE,HOUSE,324999,1966,residential_sale,3,31,0,0,0,1,14,1,,167,196,,0,TO_BE_DONE_UP
Sint-Niklaas,9100,Flanders,HOUSE,HOUSE,249500,1933,residential_sale,4,45,0,0,0,1,23,0,,156,108,,0,TO_RENOVATE
Saint-Josse-ten-Noode,1210,Brussels,APARTMENT,APARTMENT,180000,,residential_sale,2,,None,0,0,0,,0,,107,,,0,None
Roosdaal,1760,Flanders,HOUSE,HOUSE,437000,2023,residential_sale,3,44,1,0,0,1,20,1,96,172,96,3,0,AS_NEW
Saint-Gilles,1060,Brussels,HOUSE,HOUSE,450000,,residential_sale,4,,None,0,0,0,,0,,183,,,0,None
Alveringem,8690,Flanders,HOUSE,HOUSE,329000,,residential_sale,3,,None,0,0,1,,1,,169,,,0,None
Gooik,1755,Flanders,HOUSE,HOUSE,399000,1972,residential_sale,3,32,0,0,1,1,24,0,,180,1150,4,0,TO_BE_DONE_UP
Lo-Reninge,8647,Flanders,HOUSE,HOUSE,265000,,residential_sale,3,,None,0,0,1,,1,,212,,,0,None
Herent,3020,Flanders,APARTMENT,APARTMENT,350000,,residential_sale,2,,None,0,1,1,12,0,,115,,,0,None
Herent,3020,Flanders,APARTMENT,APARTMENT,355000,,residential_sale,3,,None,0,1,1,,0,,124,,,0,None
Evere,1140,Brussels,APARTMENT,APARTMENT,395000,,residential_sale,2,,None,0,0,1,7,0,,99,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,285000,,residential_sale,3,,None,0,0,1,22,0,,98,,,0,None
Dilbeek,1700,Flanders,APARTMENT,APARTMENT,270000,,residential_sale,2,,None,0,0,1,5,0,,105,,,0,None
VILLERS-L'ÉVÊQUE,4340,Wallonie,APARTMENT,APARTMENT,239500,,residential_sale,2,,None,0,1,1,5,0,,128,,,0,None
Jette,1090,Brussels,APARTMENT,APARTMENT,345000,,residential_sale,2,,None,0,0,0,,0,,100,,,0,None
VILLERS-L'ÉVÊQUE,4340,Wallonie,APARTMENT,APARTMENT,189000,,residential_sale,1,,None,0,1,0,,0,,54,,,0,None
Tubize,1480,Wallonie,APARTMENT,APARTMENT,179000,,residential_sale,1,,None,0,0,1,4,0,,61,,,0,None
Willebroek,2830,Flanders,APARTMENT,APARTMENT,225000,1971,residential_sale,3,43,0,0,1,1,8,0,,105,,2,0,TO_RENOVATE
Willebroek,2830,Flanders,APARTMENT,APARTMENT,225000,1971,residential_sale,3,43,0,0,1,1,8,0,,105,,2,0,TO_RENOVATE
Ixelles,1050,Brussels,APARTMENT,APARTMENT,850000,,residential_sale,7,,None,0,1,0,,1,,350,,,0,None
Menen,8930,Flanders,HOUSE,HOUSE,365000,1961,residential_sale,5,18,0,0,0,1,35,1,700,250,970,4,0,GOOD
Charleroi,6042,Wallonie,HOUSE,HOUSE,135000,1930,residential_sale,3,16,0,0,0,1,,0,,103,80,2,0,GOOD
Wichelen,9260,Flanders,HOUSE,HOUSE,349000,2013,residential_sale,2,45,1,0,0,1,90,1,90,150,240,3,0,AS_NEW
Brugelette,7940,Wallonie,HOUSE,HOUSE,600000,1790,residential_sale,7,40,0,0,0,1,100,1,1000,500,48751,4,1,TO_BE_DONE_UP
De Panne,8660,Flanders,APARTMENT,APARTMENT,209000,,residential_sale,1,,None,1,0,0,,0,,52,,,0,None
Braine-l'Alleud,1420,Wallonie,APARTMENT,APARTMENT,235000,,residential_sale,1,,None,0,0,1,14,0,,75,,,0,None
Aalst,9300,Flanders,HOUSE,HOUSE,179000,,residential_sale,2,22,0,0,0,0,,0,,120,40,2,0,TO_RENOVATE
Denderleeuw,9470,Flanders,HOUSE,HOUSE,260000,,residential_sale,3,,None,0,0,0,,0,,148,,,0,None
Bruxelles,1020,Brussels,APARTMENT,APARTMENT,299000,,residential_sale,2,,None,0,0,1,18,0,,90,,,0,None
Ternat,1740,Flanders,HOUSE,HOUSE,449000,,residential_sale,5,,None,0,0,1,,0,,145,,,0,None
Antwerp,2000,Flanders,APARTMENT,APARTMENT,440000,,residential_sale,2,,None,0,0,1,18,0,,72,,,0,None
Wemmel,1780,Flanders,HOUSE,HOUSE,405000,1960,residential_sale,3,27,0,0,0,1,,1,55,171,0,2,0,GOOD
Herstal (Haut),4040,Wallonie,HOUSE,HOUSE,299000,,residential_sale,3,60,1,0,0,1,,0,,160,1678,2,0,
Leuven,3000,Flanders,APARTMENT,APARTMENT,340000,1969,residential_sale,2,30,0,0,0,1,6,0,,95,,,0,
Jette,1090,Brussels,APARTMENT,APARTMENT,230000,,residential_sale,2,,None,0,0,0,,0,,76,,,0,None
